Series ID,Dwelling units commenced ;  Total Sectors ;  Houses ;  New ; (A83793840W),Dwelling units commenced ;  Total Sectors ;  Total Other Residential ;  New ; (A83794056K),Dwelling units commenced ;  Australia ; (A83801544L)
2015Q4,28393.0,28574.0,57629.0
2016Q1,28372.0,33241.0,62094.0
2016Q2,30151.0,26266.0,57531.0
2016Q3,30001.0,26111.0,56500.0
2016Q4,29251.0,28478.0,58202.0
2017Q1,26666.0,25031.0,52067.0
2017Q2,29239.0,24505.0,54193.0
2017Q3,29305.0,25607.0,55298.0
2017Q4,30355.0,23803.0,54723.0
2018Q1,31026.0,30996.0,62366.0
2018Q2,30987.0,26094.0,57256.0
2018Q3,29875.0,25903.0,56086.0
2018Q4,27978.0,20124.0,48565.0
2019Q1,28354.0,17632.0,46204.0
2019Q2,26186.0,19105.0,45717.0
2019Q3,25497.0,15114.0,40910.0
2019Q4,25105.0,17550.0,42862.0
2020Q1,25764.0,20868.0,46827.0
2020Q2,26018.0,16412.0,42654.0
2020Q3,27534.0,14685.0,42474.0
2020Q4,34233.0,17399.0,51811.0
2021Q1,36534.0,16538.0,53237.0
2021Q2,42919.0,23380.0,66627.0
2021Q3,36076.0,21002.0,57333.0
2021Q4,33860.0,18021.0,52057.0
2022Q1,30949.0,17679.0,48786.0
2022Q2,30823.0,16657.0,47659.0
2022Q3,29286.0,15515.0,44972.0
2022Q4,28114.0,13139.0,41511.0
2023Q1,27196.0,18280.0,45761.0
2023Q2,25879.0,16005.0,42363.0
2023Q3,23088.0,14648.0,37881.0
2023Q4,24332.0,15381.0,39947.0
2024Q1,25678.0,14811.0,40635.0
2024Q2,26935.0,14475.0,41624.0
2024Q3,27999.0,15549.0,43711.0
2024Q4,26655.0,15740.0,42527.0
2025Q1,28428.0,18797.0,47386.0
2025Q2,27040.0,18565.0,45772.0
2025Q3,28840.0,19757.0,48778.0
