Series ID,Dwelling units completed ;  Total Sectors ;  Houses ;  New ; (A83793841X),Dwelling units completed ;  Total Sectors ;  Total Other Residential ;  New ; (A83794057L),Dwelling units completed ;  Total Sectors ;  Total (Type of Building) ;  Total (Type of Work) ; (A83801545R)
2015Q4,30317.0,17743.0,48634.0
2016Q1,26867.0,18047.0,45523.0
2016Q2,31120.0,25509.0,57019.0
2016Q3,27595.0,22735.0,50890.0
2016Q4,28583.0,29230.0,58779.0
2017Q1,28523.0,27816.0,56864.0
2017Q2,28286.0,24119.0,52703.0
2017Q3,27869.0,24398.0,52742.0
2017Q4,28091.0,23078.0,51778.0
2018Q1,28179.0,24866.0,53499.0
2018Q2,29228.0,25581.0,55120.0
2018Q3,33392.0,23530.0,57192.0
2018Q4,29845.0,23232.0,53663.0
2019Q1,30274.0,21813.0,52380.0
2019Q2,28029.0,23107.0,51676.0
2019Q3,26074.0,21476.0,47941.0
2019Q4,26013.0,24475.0,50708.0
2020Q1,26625.0,20230.0,47062.0
2020Q2,26455.0,19289.0,46168.0
2020Q3,25139.0,18717.0,44123.0
2020Q4,26202.0,17936.0,44376.0
2021Q1,25710.0,19404.0,45426.0
2021Q2,27594.0,18455.0,46238.0
2021Q3,28390.0,15699.0,44475.0
2021Q4,28069.0,14496.0,42841.0
2022Q1,30480.0,11867.0,42473.0
2022Q2,28847.0,14081.0,43049.0
2022Q3,28708.0,15405.0,44242.0
2022Q4,27128.0,16482.0,43796.0
2023Q1,27602.0,16821.0,44548.0
2023Q2,27610.0,13903.0,41788.0
2023Q3,29085.0,14691.0,44072.0
2023Q4,30929.0,14703.0,45784.0
2024Q1,25492.0,15707.0,41489.0
2024Q2,28936.0,17166.0,46290.0
2024Q3,28865.0,15260.0,44762.0
2024Q4,28348.0,16815.0,45288.0
2025Q1,28320.0,15055.0,43514.0
2025Q2,28015.0,13019.0,41168.0
2025Q3,27363.0,16756.0,44242.0
