Series ID,Total number of dwelling units ;  Houses ;  Total Sectors ; (A418431A),Total number of dwelling units ;  Dwellings excluding houses ;  Total Sectors ; (A421265R),Total number of dwelling units ;  Total (Type of Building) ;  Total Sectors ; (A422070J)
2016-03-31,30128.0,29123.0,59250.0
2016-06-30,30144.0,29608.0,59750.0
2016-09-30,29512.0,33199.0,62710.0
2016-12-31,28986.0,24375.0,53361.0
2017-03-31,28318.0,24287.0,52604.0
2017-06-30,29717.0,24256.0,53974.0
2017-09-30,30946.0,27262.0,58208.0
2017-12-31,30759.0,29857.0,60617.0
2018-03-31,30926.0,27507.0,58432.0
2018-06-30,31171.0,24767.0,55937.0
2018-09-30,30102.0,21694.0,51796.0
2018-12-31,28730.0,17814.0,46544.0
2019-03-31,26975.0,19443.0,46419.0
2019-06-30,26501.0,17259.0,43760.0
2019-09-30,26228.0,15772.0,42000.0
2019-12-31,25625.0,19474.0,45098.0
2020-03-31,26182.0,19080.0,45264.0
2020-06-30,26533.0,14765.0,41298.0
2020-09-30,29748.0,15996.0,45743.0
2020-12-31,36250.0,18001.0,54250.0
2021-03-31,40874.0,19378.0,60252.0
2021-06-30,40111.0,20581.0,60691.0
2021-09-30,35284.0,20989.0,56275.0
2021-12-31,31305.0,18705.0,50010.0
2022-03-31,29498.0,18311.0,47809.0
2022-06-30,29340.0,19526.0,48864.0
2022-09-30,29273.0,18979.0,48251.0
2022-12-31,27212.0,20149.0,47361.0
2023-03-31,25946.0,14029.0,39975.0
2023-06-30,24893.0,17042.0,41934.0
2023-09-30,25288.0,14701.0,39988.0
2023-12-31,26563.0,16232.0,42796.0
2024-03-31,26586.0,13909.0,40494.0
2024-06-30,27648.0,13874.0,41521.0
2024-09-30,28803.0,15729.0,44532.0
2024-12-31,27755.0,19155.0,46910.0
2025-03-31,27916.0,21561.0,49475.0
2025-06-30,28393.0,19708.0,48102.0
2025-09-30,28381.0,19832.0,48214.0
2025-12-31,28716.0,21225.0,49940.0
