Series ID,Unemployment rate ;  Persons ;  Australia ; (A84423050A),Labour force total ;  Persons ;  Australia ; (A84423047L),Participation rate ;  Persons ;  Australia ; (A84423051C)
2016-06-30,5.6959527,12684.9398431,64.8652626
2016-09-30,5.6649795,12659.4085938,64.4440242
2016-12-31,5.8343211,12764.6703685,64.7392963
2017-03-31,5.8470915,12826.0777619,64.6922279
2017-06-30,5.6237753,12923.6257265,64.9600752
2017-09-30,5.4637787,13033.7117269,65.2418448
2017-12-31,5.6133529,13138.5695541,65.570166
2018-03-31,5.532589,13171.5138482,65.3817373
2018-06-30,5.3434407,13228.3968467,65.435636
2018-09-30,5.020349,13267.3214884,65.3327019
2018-12-31,5.0132009,13343.0492683,65.4827979
2019-03-31,5.0924184,13433.2378912,65.5859997
2019-06-30,5.261443,13515.1663713,65.7935536
2019-09-30,5.2297332,13614.6477298,65.9810777
2019-12-31,5.0327678,13614.3091525,65.7399661
2020-03-31,5.2003374,13635.2665175,65.5322032
2020-06-30,7.4256962,13264.4804327,63.6827276
2020-09-30,6.9293545,13451.7081089,64.6104707
2020-12-31,6.5451713,13699.9816216,65.7881533
2021-03-31,5.6719257,13733.8862628,65.8910938
2021-06-30,5.02515,13750.9763299,65.8795206
2021-09-30,4.7065353,13460.7198177,64.4266095
2021-12-31,4.1988746,13805.6368223,65.8700511
2022-03-31,3.9792695,13946.4304707,66.1241603
2022-06-30,3.6072329,14093.1101418,66.5010663
2022-09-30,3.6025641,14184.9122694,66.4746642
2022-12-31,3.5171152,14265.7423748,66.3940566
2023-03-31,3.5869537,14452.1129291,66.6725514
2023-06-30,3.5206576,14543.9480159,66.6610688
2023-09-30,3.5628797,14616.2253989,66.4871598
2023-12-31,3.9742382,14718.389666,66.5794841
2024-03-31,3.885458,14809.7633164,66.5368166
2024-06-30,4.0350084,14928.063423,66.8295619
2024-09-30,4.0210406,15051.3147337,67.0752241
2024-12-31,3.9775747,15121.2803077,67.1116087
2025-03-31,4.0657914,15119.2436133,66.6971125
2025-06-30,4.3157658,15238.3366534,66.9897383
2025-09-30,4.4466824,15289.4834248,66.8991813
2025-12-31,4.0919161,15312.5703143,66.6999732
2026-03-31,4.0753199,15328.5090524,66.6632993
