Series ID,Long Term Arrivals ('000),Long Term Departures ('000),Net Long Term Arrivals ('000)
2016-03-31,167.24,134.03,33.21000000000001
2016-06-30,83.33,105.66,-22.33
2016-09-30,134.54,114.29,20.249999999999986
2016-12-31,92.72,130.35,-37.629999999999995
2017-03-31,179.07,139.5,39.56999999999999
2017-06-30,92.78,111.59,-18.810000000000002
2017-09-30,144.18,123.04,21.14
2017-12-31,101.03,141.06,-40.03
2018-03-31,200.97,146.4,54.56999999999999
2018-06-30,109.23,121.81,-12.579999999999998
2018-09-30,159.94,128.39,31.55000000000001
2018-12-31,113.16,144.71,-31.55000000000001
2019-03-31,219.6,151.1,68.5
2019-06-30,113.82,128.37,-14.550000000000011
2019-09-30,158.0,122.96,35.040000000000006
2019-12-31,110.33,147.24,-36.91000000000001
2020-03-31,187.6,127.36,60.239999999999995
2020-06-30,0.74,10.88,-10.14
2020-09-30,1.87,24.76,-22.89
2020-12-31,5.09,29.61,-24.52
2021-03-31,5.77,41.61,-35.84
2021-06-30,7.67,39.21,-31.54
2021-09-30,7.18,46.64,-39.46
2021-12-31,40.01,87.88,-47.87
2022-03-31,101.57,116.9,-15.330000000000013
2022-06-30,102.06,171.96,-69.9
2022-09-30,151.59,152.44,-0.8499999999999943
2022-12-31,131.2,175.69,-44.49000000000001
2023-03-31,251.57,173.55,78.01999999999998
2023-06-30,168.08,148.24,19.840000000000003
2023-09-30,213.27,138.99,74.28
2023-12-31,153.72,182.64,-28.919999999999987
2024-03-31,278.59,170.12,108.46999999999997
2024-06-30,154.03,149.45,4.5800000000000125
2024-09-30,213.44,156.93,56.50999999999999
2024-12-31,154.1,188.2,-34.099999999999994
2025-03-31,296.52,187.35,109.16999999999999
2025-06-30,171.91,144.04,27.870000000000005
2025-09-30,220.92,151.96,68.95999999999998
2025-12-31,172.28,188.71,-16.430000000000007
