Series ID,Number of movements ;  Long-term Visitors arriving ; (A85232555A)
2016-01,61000.0
2016-02,71640.0
2016-03,34600.0
2016-04,30080.0
2016-05,24550.0
2016-06,28700.0
2016-07,67090.0
2016-08,33340.0
2016-09,34110.0
2016-10,36460.0
2016-11,30120.0
2016-12,26140.0
2017-01,60290.0
2017-02,81960.0
2017-03,36820.0
2017-04,33810.0
2017-05,26860.0
2017-06,32110.0
2017-07,72510.0
2017-08,36220.0
2017-09,35450.0
2017-10,40110.0
2017-11,31840.0
2017-12,29080.0
2018-01,70680.0
2018-02,84440.0
2018-03,45850.0
2018-04,40450.0
2018-05,30550.0
2018-06,38230.0
2018-07,82230.0
2018-08,39240.0
2018-09,38470.0
2018-10,43350.0
2018-11,36760.0
2018-12,33050.0
2019-01,74490.0
2019-02,95080.0
2019-03,50030.0
2019-04,39070.0
2019-05,34130.0
2019-06,40620.0
2019-07,76870.0
2019-08,40960.0
2019-09,40170.0
2019-10,41140.0
2019-11,36940.0
2019-12,32250.0
2020-01,73560.0
2020-02,78920.0
2020-03,35120.0
2020-04,210.0
2020-05,240.0
2020-06,290.0
2020-07,380.0
2020-08,610.0
2020-09,880.0
2020-10,1460.0
2020-11,1810.0
2020-12,1820.0
2021-01,2240.0
2021-02,1510.0
2021-03,2020.0
2021-04,2330.0
2021-05,2690.0
2021-06,2650.0
2021-07,2970.0
2021-08,2040.0
2021-09,2170.0
2021-10,1910.0
2021-11,5400.0
2021-12,32700.0
2022-01,29840.0
2022-02,40800.0
2022-03,30930.0
2022-04,29380.0
2022-05,35070.0
2022-06,37610.0
2022-07,60550.0
2022-08,47110.0
2022-09,43930.0
2022-10,39110.0
2022-11,46490.0
2022-12,45600.0
2023-01,73920.0
2023-02,110810.0
2023-03,66840.0
2023-04,52270.0
2023-05,54830.0
2023-06,60980.0
2023-07,100190.0
2023-08,57490.0
2023-09,55590.0
2023-10,51440.0
2023-11,50540.0
2023-12,51740.0
2024-01,98080.0
2024-02,123190.0
2024-03,57320.0
2024-04,55070.0
2024-05,48240.0
2024-06,50720.0
2024-07,98220.0
2024-08,56940.0
2024-09,58280.0
2024-10,52920.0
2024-11,52400.0
2024-12,48780.0
2025-01,102240.0
2025-02,133040.0
2025-03,61240.0
2025-04,56390.0
2025-05,56990.0
2025-06,58530.0
2025-07,98120.0
2025-08,61360.0
2025-09,61440.0
2025-10,59850.0
2025-11,57730.0
2025-12,54700.0
