Series ID,Natural Increase ;  Australia ; (A2133252X),Net Overseas Migration ;  Australia ; (A2133254C),Estimated Resident Population (ERP) ;  Australia ; (A2133251W),Percentage ERP Change Over Previous Year ;  Australia ; (A2133256J)
2015Q3,34.8,50.4,23904.3,1.45
2015Q4,37.9,39.3,23984.6,1.46
2016Q1,42.7,73.0,24103.4,1.51
2016Q2,39.0,43.6,24190.9,1.57
2016Q3,35.3,73.7,24297.5,1.65
2016Q4,36.2,53.6,24385.1,1.67
2017Q1,39.9,88.8,24511.4,1.69
2017Q2,36.2,47.3,24592.6,1.66
2017Q3,30.3,69.7,24690.1,1.62
2017Q4,35.6,35.8,24759.0,1.53
2018Q1,40.2,85.1,24881.8,1.51
2018Q2,36.5,47.6,24963.3,1.51
2018Q3,33.2,73.8,25067.4,1.53
2018Q4,35.9,45.7,25146.1,1.56
2019Q1,38.1,83.6,25264.9,1.54
2019Q2,34.6,38.2,25334.8,1.49
2019Q3,32.0,74.5,25438.1,1.48
2019Q4,34.3,51.3,25520.5,1.49
2020Q1,35.6,75.2,25627.9,1.44
2020Q2,32.9,-8.3,25649.2,1.24
2020Q3,31.2,-42.6,25633.3,0.77
2020Q4,31.2,-29.3,25630.7,0.43
2021Q1,41.1,-14.2,25653.0,0.1
2021Q2,35.9,1.1,25685.4,0.14
2021Q3,32.4,-13.0,25704.8,0.28
2021Q4,33.6,35.4,25773.8,0.56
2022Q1,31.7,107.5,25913.0,1.01
2022Q2,27.8,78.0,26018.7,1.3
2022Q3,22.9,127.7,26169.3,1.81
2022Q4,26.3,124.6,26320.3,2.12
2023Q1,28.5,165.5,26514.3,2.32
2023Q2,25.1,120.5,26659.9,2.46
2023Q3,26.0,145.2,26831.1,2.53
2023Q4,26.1,99.5,26956.7,2.42
2024Q1,28.2,128.7,27113.5,2.26
2024Q2,24.9,55.8,27194.3,2.0
2024Q3,25.2,80.8,27300.3,1.75
2024Q4,23.1,64.6,27388.0,1.6
2025Q1,34.2,110.0,27532.2,1.54
2025Q2,32.1,50.1,27614.4,1.54
